Country,Price,Size,Marketplace,Reference,Moy_prix_by_size
Nabeul,550.0,75.0,Tunisie-annonce TN,2855150,7.333333333333333
Banlieue Nord,500.0,70.0,Tunisie-annonce TN,2812206,7.142857142857143
Bizerte,2500.0,1000.0,Tunisie-annonce TN,2825452,2.5
Bizerte,400.0,100.0,Tunisie-annonce TN,2829749,4.0
Ben arous,520.0,100.0,Tunisie-annonce TN,2860283,5.2
Nabeul,140.0,80.0,Tunisie-annonce TN,2357798,1.75
Mannouba,700.0,130.0,Tunisie-annonce TN,2861825,5.384615384615385
Ben arous,550.0,140.0,Tunisie-annonce TN,2861821,3.9285714285714284
Monastir,700.0,250.0,Tunisie-annonce TN,2861877,2.8
Sousse,500.0,110.0,Tayara TN,b1ae6bc8-980b-4a67-98f0-8e7fa77dca12,4.545454545454546
Nabeul,300.0,180.0,Tunisie-annonce TN,2858897,1.6666666666666667
Ben arous,575.0,105.0,Tunisie-annonce TN,2848483,5.476190476190476
Banlieue Nord,1300.0,120.0,Tunisie-annonce TN,2861872,10.833333333333334
Ben arous,850.0,120.0,Tunisie-annonce TN,2861870,7.083333333333333
Nabeul,400.0,180.0,Tunisie-annonce TN,2837580,2.2222222222222223
Tunis,790.0,120.0,Tunisie-annonce TN,2729210,6.583333333333333
Ariana,650.0,140.0,Tunisie-annonce TN,2782902,4.642857142857143
Ariana,900.0,140.0,Tunisie-annonce TN,2735181,6.428571428571429
Tunis,550.0,28.0,Tunisie-annonce TN,2828085,19.642857142857142
Sousse,90.0,150.0,Tayara TN,c3957039-6546-434b-b914-09f3d1ecd8cc,0.6
Tunis,800.0,110.0,Tunisie-annonce TN,2861847,7.2727272727272725
Sousse,600.0,85.0,Tunisie-annonce TN,2861860,7.0588235294117645
Ariana,1300.0,150.0,Tunisie-annonce TN,2861856,8.666666666666666
Monastir,350.0,60.0,Tayara TN,33d7c1ee-1494-47c0-af67-3d780c37502f,5.833333333333333
Ariana,600.0,10.0,Tunisie-annonce TN,2861855,60.0
Ariana,1300.0,180.0,Tunisie-annonce TN,2846208,7.222222222222222
Ariana,420.0,70.0,Tunisie-annonce TN,2593401,6.0
Ariana,595.0,120.0,Tunisie-annonce TN,2593411,4.958333333333333
Ariana,600.0,70.0,Tayara TN,4047d7cc-c5ed-42eb-8658-5ab32c5a381b,8.571428571428571
Mannouba,450.0,90.0,Tayara TN,87dd2a5a-66cd-483a-b8cc-f8660acac490,5.0
Cite el khadra,180.0,15.0,Tunisie-annonce TN,2754499,12.0
Ariana,1100.0,140.0,Tunisie-annonce TN,2861887,7.857142857142857
Ariana,750.0,130.0,Tunisie-annonce TN,2451059,5.769230769230769
Ariana,120.0,85.0,Tayara TN,7f39934f-2c5a-481d-af47-df39f9fdd876,1.411764705882353
Ariana,470.0,80.0,Tunisie-annonce TN,2745599,5.875
Banlieue Nord,1500.0,70.0,Tunisie-annonce TN,2834240,21.428571428571427
Ben arous,550.0,100.0,Tunisie-annonce TN,2860839,5.5
Banlieue Nord,900.0,60.0,Tunisie-annonce TN,2834198,15.0
Banlieue Nord,650.0,60.0,Tayara TN,794fbecc-8119-465e-b447-5cadfe530355,10.833333333333334
Nabeul,1000.0,120.0,Tunisie-annonce TN,2527643,8.333333333333334
Nabeul,380.0,120.0,Tunisie-annonce TN,2738334,3.1666666666666665
Monastir,300.0,100.0,Tayara TN,0c799d72-a536-431f-a968-678a9671390b,3.0
Nabeul,420.0,140.0,Tunisie-annonce TN,2804380,3.0
Tunis,450.0,100.0,Tunisie-annonce TN,2861884,4.5
Ariana,850.0,60.0,Tunisie-annonce TN,2831669,14.166666666666666
Tunis,380.0,90.0,Tunisie-annonce TN,2861883,4.222222222222222
Bizerte,250.0,70.0,Tayara TN,545aefc0-90fd-4043-ab77-9c048df7aedb,3.5714285714285716
Tunis,700.0,80.0,Tunisie-annonce TN,2846940,8.75
Ariana,225.0,100.0,Tayara TN,8bd1bdc5-9242-4dbf-8246-8bde59f7417c,2.25
Banlieue Nord,800.0,90.0,Tunisie-annonce TN,2860355,8.88888888888889
Banlieue Nord,2600.0,150.0,Tunisie-annonce TN,2811635,17.333333333333332
Banlieue Nord,2600.0,150.0,Tunisie-annonce TN,2747628,17.333333333333332
