Country,Price,Size,Status,Marketplace
Ariana,300000.0,119.0,A vendre,Jumia TN
Banlieue Nord,265000.0,135.0,A vendre,Jumia TN
Sousse,250000.0,100.0,A vendre,Jumia TN
Banlieue Nord,380000.0,138.0,A vendre,Jumia TN
Sousse,146000.0,42.0,A vendre,Jumia TN
Sousse,220000.0,50.0,A vendre,Jumia TN
Sousse,217000.0,148.0,A vendre,Jumia TN
Sousse,215000.0,130.0,A vendre,Jumia TN
Banlieue Nord,460000.0,200.0,A vendre,Jumia TN
Sousse,180.0,50.0,A vendre,Jumia TN
Banlieue Nord,420000.0,1.0,A vendre,Jumia TN
Nabeul,330000.0,117.0,A vendre,Jumia TN
Ariana,985800.0,283.0,A vendre,Jumia TN
Banlieue Nord,750000.0,1.0,A vendre,Jumia TN
Ariana,357050.0,202.0,A vendre,Jumia TN
Banlieue Nord,255000.0,169.0,A vendre,Jumia TN
Banlieue Nord,234900.0,1.0,A vendre,Jumia TN
Ariana,700000.0,360.0,A vendre,Jumia TN
Mahdia,348300.0,122.0,A vendre,Jumia TN
Sousse,298000.0,119.0,A vendre,Jumia TN
Sousse,125000.0,78.0,A vendre,Jumia TN
Banlieue Nord,468000.0,234.0,A vendre,Jumia TN
Banlieue Nord,483400.0,1.0,A vendre,Jumia TN
Ariana,281600.0,128.0,A vendre,Jumia TN
Nabeul,145000.0,75.0,A vendre,Jumia TN
Ariana,367000.0,132.0,A vendre,Jumia TN
Ariana,210000.0,105.0,A vendre,Jumia TN
Banlieue Nord,750000.0,1.0,A vendre,Jumia TN
Banlieue Nord,420000.0,1.0,A vendre,Jumia TN
Banlieue Nord,590000.0,157.36478304742684,À Vendre,Tayara TN
Sousse,220000.0,70.0,A vendre,Jumia TN
Ben arous,173000.0,105.0,A vendre,Jumia TN
Banlieue Nord,650000.0,1.0,A vendre,Jumia TN
Banlieue Nord,330000.0,1.0,A vendre,Jumia TN
Ben arous,190000.0,145.0,A vendre,Jumia TN
Ariana,560000.0,180.0,A vendre,Jumia TN
Sousse,140000.0,85.0,A vendre,Jumia TN
Ben arous,1500000.0,157.36478304742684,À Vendre,Tayara TN
Ariana,410000.0,143.0,A vendre,Jumia TN
Ben arous,140000.0,157.36478304742684,À Vendre,Tayara TN
Banlieue Nord,275000.0,157.36478304742684,À Vendre,Tayara TN
Banlieue Nord,280000.0,160.0,A vendre,Jumia TN
Banlieue Nord,800000.0,223.0,A vendre,Jumia TN
Ariana,1950.0,157.36478304742684,À Vendre,Tayara TN
Sousse,170000.0,103.0,A vendre,Jumia TN
Banlieue Nord,580000.0,242.0,A vendre,Jumia TN
Ariana,125000.0,60.0,A vendre,Jumia TN
Ariana,316000.0,137.0,A vendre,Jumia TN
Sousse,120000.0,100.0,A vendre,Jumia TN
Banlieue Nord,240000.0,1.0,A vendre,Jumia TN
Banlieue Nord,230000.0,147.0,A vendre,Jumia TN
