,Country,Price
1157,Ariana,450.0
1158,Ariana,750.0
1161,Ariana,1200.0
1162,Ben arous,6000.0
1164,Ben arous,4500.0
1167,Ariana,850.0
1168,Nabeul,1400.0
1170,Ben arous,380.0
1171,Nabeul,500.0
1172,Nabeul,1750.0
1174,Sousse,160.0
1176,Mannouba,600.0
1178,Tunis,4500.0
1179,Mannouba,350.0
1180,Monastir,200.0
1182,Bardo,0.0
1185,Ariana,800.0
1186,Ben arous,550.0
1188,Ariana,850.0
1189,Ariana,1050.0
1191,Tunis,250.0
1193,Tunis,800.0
1195,Banlieue Nord,1600.0
1197,Sousse,600.0
1198,Ariana,850.0
1200,Nabeul,99.0
1201,Nabeul,99.0
1204,Tunis,500.0
1206,Ariana,1250.0
1209,Ariana,1100.0
1211,Ben arous,2500.0
1212,Ariana,630.0
1215,Monastir,250.0
1218,Banlieue Nord,750.0
1220,Nabeul,3800.0
1223,Sfax,450.0
1225,Sousse,90.0
1227,Sfax,500.0
1228,Sousse,600.0
1230,Ariana,80.0
1232,Bardo,750.0
1234,Bardo,100.0
1235,Sousse,120.0
1238,Sfax,250.0
1240,Nabeul,3500.0
1242,Tunis,400.0
1245,Sfax,180.0
1246,Sousse,1500.0
1247,Nabeul,390.0
1250,Ben arous,900.0
1252,Nabeul,0.0
1253,Ariana,70.0
1254,Tunis,1250.0
1256,Ben arous,3000.0
1258,Ariana,900.0
1260,Sousse,400.0
1261,Ben arous,5000.0
1262,Sfax,850.0
1265,Sousse,100.0
1268,Sousse,0.0
1271,Mahdia,1000.0
1274,Banlieue Nord,800.0
1275,Tunis,100.0
1277,Tunis,500.0
1279,Ben arous,500.0
1281,Tunis,300.0
1283,Nabeul,2500.0
1285,Sfax,500.0
1287,Banlieue Nord,2200.0
1290,Banlieue Nord,1100.0
1292,Ariana,700.0
1294,Ariana,550.0
1296,Ariana,1750.0
1298,Ariana,400.0
1299,Tunis,400.0
1301,Sousse,100.0
1303,Ariana,80.0
1305,Banlieue Nord,2800.0
1307,Ben arous,4750.0
1308,Tunis,350.0
1310,Nabeul,1500.0
1314,Banlieue Nord,4550.0
1318,Tunis,350.0
1321,Nabeul,750.0
1322,Gafsa,420.0
1326,Nabeul,150.0
1328,Ariana,750.0
1330,Nabeul,130.0
1332,Nabeul,490.0
1335,Nabeul,99.0
1337,Ariana,850.0
1338,Ariana,570.0
1340,Tunis,750.0
1341,Cite el khadra,650.0
1342,Sfax,850.0
1343,Bizerte,500.0
1346,Mannouba,500.0
1347,Ben arous,750.0
1351,Nabeul,350.0
1354,Nabeul,750.0
1357,Bizerte,100.0
1358,Ben arous,600.0
1361,Nabeul,600.0
1365,Bardo,500.0
1368,Nabeul,99.0
1371,Ariana,600.0
1375,Banlieue Nord,100.0
1376,Banlieue Nord,100.0
1377,Tunis,200.0
1379,Sousse,500.0
1381,Tunis,1100.0
1384,Tunis,0.0
1385,Bizerte,1200.0
1386,Banlieue Nord,3000.0
1387,Tunis,620.0
1390,Tunis,1100.0
1391,Bizerte,450.0
1392,Ariana,650.0
1394,Tunis,1300.0
1397,Banlieue Nord,1200.0
1399,Banlieue Nord,600.0
1400,Banlieue Nord,220.0
1402,Banlieue Nord,250.0
1406,Tunis,750.0
1408,Sfax,350.0
1409,Banlieue Nord,800.0
1411,Nabeul,140.0
1413,Ariana,800.0
1416,Banlieue Nord,1000.0
1417,Banlieue Nord,1500.0
1419,Nabeul,0.0
1420,Banlieue Nord,2500.0
